temperature,mixing_speed,residence_time,feed_composition,moisture,viscosity,purity,color_deviation
82.47,570.89,42.41,0.857,9.288,398.86,98.726,3.554
117.04,657.68,18.62,0.663,7.996,304.75,97.096,6.43
103.92,275.33,53.62,0.762,7.545,533.4,97.651,5.067
95.92,537.41,40.66,0.618,8.186,391.41,99.244,5.924
69.36,500.22,17.86,0.715,12.085,451.81,97.487,5.647
69.36,682.98,58.12,0.57,9.737,334.87,96.377,4.929
63.49,734.26,35.92,0.551,11.709,298.57,97.424,5.266
111.97,108.51,13.64,0.689,8.486,618.79,97.019,6.523
96.07,571.81,41.34,0.649,8.595,364.29,98.269,5.931
102.48,136.29,22.66,0.69,8.859,632.1,98.577,5.611
61.24,484.2,50.18,0.543,10.716,451.0,96.794,5.222
118.19,301.34,50.89,0.583,6.278,501.98,96.518,6.445
109.95,314.74,58.95,0.442,6.604,503.96,96.098,7.956
72.74,347.07,35.09,0.426,10.054,520.78,98.822,6.411
70.91,534.9,32.75,0.527,11.421,417.35,98.549,5.762
71.0,333.83,47.67,0.437,9.323,536.09,97.494,6.25
78.25,612.89,16.62,0.452,10.77,378.79,97.63,6.594
91.49,383.17,37.35,0.806,9.018,496.61,98.777,4.686
85.92,147.85,37.31,0.419,9.552,633.49,99.005,6.552
77.47,648.63,14.47,0.729,11.928,344.17,97.375,4.04
96.71,300.03,30.9,0.536,8.136,528.8,99.154,5.417
68.37,402.94,52.66,0.836,9.945,505.17,97.583,3.534
77.53,579.81,52.81,0.642,8.499,392.72,97.386,5.513
81.98,332.72,14.96,0.553,10.872,534.97,97.765,6.652
87.36,139.61,14.54,0.659,10.59,627.69,97.937,5.998
107.11,361.74,23.13,0.591,9.088,478.49,98.305,6.512
71.98,761.11,53.74,0.682,9.808,296.78,97.734,4.522
90.85,549.21,16.45,0.457,10.464,376.33,97.539,6.912
95.54,570.04,46.0,0.898,8.56,381.19,98.49,4.093
62.79,542.6,15.06,0.613,12.234,423.91,96.458,5.939
96.45,239.29,41.16,0.574,7.835,554.03,98.273,6.196
70.23,392.83,27.8,0.755,11.328,514.62,98.1,5.153
63.9,625.66,49.45,0.582,9.993,367.06,97.115,5.598
116.93,170.96,21.68,0.817,8.324,580.35,97.088,5.636
117.94,294.5,41.96,0.627,10.724,603.08,93.27,9.047
108.5,293.42,21.78,0.76,8.936,532.5,98.797,5.783
78.28,402.41,45.68,0.454,9.398,486.21,98.332,6.377
65.86,786.26,53.68,0.823,10.401,293.88,96.879,3.371
101.05,147.25,16.34,0.768,9.413,617.3,97.6,4.525
86.41,463.09,53.33,0.506,8.555,445.57,97.837,6.227
67.32,225.56,39.68,0.473,10.599,590.69,97.826,6.302
89.71,779.47,16.36,0.558,10.33,252.32,97.523,5.014
62.06,179.31,31.38,0.888,11.362,641.0,97.328,2.997
114.56,382.52,18.04,0.528,7.608,456.77,97.227,6.981
75.53,616.52,45.02,0.628,15.123,506.23,94.751,10.225
99.75,593.19,47.94,0.415,8.038,362.32,98.147,7.007
78.7,395.91,15.29,0.599,11.145,490.97,98.089,6.162
91.2,342.57,35.31,0.686,9.81,501.96,98.971,5.324
92.8,378.33,50.73,0.877,8.195,497.3,98.183,4.191
71.09,284.99,56.81,0.658,10.199,556.82,97.111,4.728
118.18,243.73,35.68,0.81,7.075,533.59,97.893,4.482
106.51,438.13,57.51,0.674,6.396,433.62,97.049,6.578
116.37,287.97,36.78,0.42,7.717,508.28,97.062,8.083
113.69,301.22,29.71,0.558,7.983,517.05,97.715,5.931
95.87,559.73,52.41,0.688,7.867,384.29,97.946,5.309
115.31,777.98,34.65,0.875,7.596,244.68,97.678,4.226
65.31,522.55,33.6,0.83,11.183,426.14,98.087,3.669
71.76,153.89,34.52,0.514,11.019,640.68,98.589,5.992
62.71,152.91,52.34,0.51,9.563,640.79,96.837,6.232
79.52,766.0,51.6,0.501,8.801,280.3,98.3,6.23
